,greatersydney,rings,lga,dwellingtype,bedrooms,wrent_median,new_bonds_no,total_bonds_held,date
9660,Greater Sydney,Inner Ring,Waverley,House,1 Bedroom,,,58,2018-03-31
9661,Greater Sydney,Inner Ring,Waverley,House,Not Specified,,,80,2018-03-31
9662,Greater Sydney,Inner Ring,Waverley,House,2 Bedrooms,927.5,32,189,2018-03-31
9663,Greater Sydney,Inner Ring,Waverley,House,3 Bedrooms,1250.0,47,300,2018-03-31
9664,Greater Sydney,Inner Ring,Waverley,House,4 or more Bedrooms,1850.0,50,262,2018-03-31
9665,Greater Sydney,Inner Ring,Waverley,Other,Total,700.0,43,1792,2018-03-31
9666,Greater Sydney,Inner Ring,Waverley,Other,Bedsitter,,,151,2018-03-31
9667,Greater Sydney,Inner Ring,Waverley,Other,1 Bedroom,,,253,2018-03-31
9668,Greater Sydney,Inner Ring,Waverley,Other,Not Specified,700.0,s,679,2018-03-31
9669,Greater Sydney,Inner Ring,Waverley,Other,2 Bedrooms,800.0,s,533,2018-03-31
9670,Greater Sydney,Inner Ring,Waverley,Other,3 Bedrooms,,,141,2018-03-31
9671,Greater Sydney,Inner Ring,Waverley,Other,4 or more Bedrooms,,,35,2018-03-31
9672,Greater Sydney,Inner Ring,Waverley,Townhouse,Total,1100.0,51,628,2018-03-31
9673,Greater Sydney,Inner Ring,Waverley,Townhouse,Bedsitter,,,,2018-03-31
9674,Greater Sydney,Inner Ring,Waverley,Townhouse,1 Bedroom,,,s,2018-03-31
9675,Greater Sydney,Inner Ring,Waverley,Townhouse,Not Specified,,,34,2018-03-31
9676,Greater Sydney,Inner Ring,Waverley,Townhouse,2 Bedrooms,1000.0,s,224,2018-03-31
9677,Greater Sydney,Inner Ring,Waverley,Townhouse,3 Bedrooms,1152.31,s,253,2018-03-31
9678,Greater Sydney,Inner Ring,Waverley,Townhouse,4 or more Bedrooms,,,94,2018-03-31
9679,Greater Sydney,Inner Ring,Waverley,Flat/Unit,Total,720.0,920,10059,2018-03-31
