,lga,sales_price_median,sales_price_mean,sales_no,date,greatersydney_y,rings_y,dwellingtype_y,wrent_median,new_bonds_no,total_bonds_held,dwellingtype_g
112,Liverpool,790.0,821.0,327.0,2018-03-31,Greater Sydney,Outer Ring,House,530.0,693.0,7075.0,Non Strata
113,Liverpool,500.0,497.0,142.0,2018-03-31,Greater Sydney,Outer Ring,Other,410.0,149.0,1943.0,Strata
114,Liverpool,500.0,497.0,142.0,2018-03-31,Greater Sydney,Outer Ring,Townhouse,480.0,108.0,1484.0,Strata
115,Liverpool,500.0,497.0,142.0,2018-03-31,Greater Sydney,Outer Ring,Flat/Unit,395.0,546.0,5487.0,Strata
116,Northern Beaches,1825.0,2005.0,399.0,2018-03-31,Greater Sydney,Outer Ring,House,1000.0,552.0,4799.0,Non Strata
117,Northern Beaches,890.0,995.0,393.0,2018-03-31,Greater Sydney,Outer Ring,Other,630.0,85.0,2141.0,Strata
118,Northern Beaches,890.0,995.0,393.0,2018-03-31,Greater Sydney,Outer Ring,Townhouse,850.0,140.0,1187.0,Strata
119,Northern Beaches,890.0,995.0,393.0,2018-03-31,Greater Sydney,Outer Ring,Flat/Unit,600.0,1557.0,14272.0,Strata
120,Penrith,696.0,711.0,494.0,2018-03-31,Greater Sydney,Outer Ring,House,465.0,1012.0,9787.0,Non Strata
121,Penrith,521.0,499.0,168.0,2018-03-31,Greater Sydney,Outer Ring,Other,360.0,147.0,2652.0,Strata
122,Penrith,521.0,499.0,168.0,2018-03-31,Greater Sydney,Outer Ring,Townhouse,415.0,238.0,2253.0,Strata
123,Penrith,521.0,499.0,168.0,2018-03-31,Greater Sydney,Outer Ring,Flat/Unit,380.0,401.0,3073.0,Strata
124,Sutherland Shire,1258.0,1368.0,349.0,2018-03-31,Greater Sydney,Outer Ring,House,700.0,386.0,3523.0,Non Strata
125,Sutherland Shire,775.0,830.0,351.0,2018-03-31,Greater Sydney,Outer Ring,Other,510.0,62.0,1574.0,Strata
126,Sutherland Shire,775.0,830.0,351.0,2018-03-31,Greater Sydney,Outer Ring,Townhouse,650.0,168.0,1576.0,Strata
127,Sutherland Shire,775.0,830.0,351.0,2018-03-31,Greater Sydney,Outer Ring,Flat/Unit,490.0,763.0,7772.0,Strata
128,The Hills Shire,1281.0,1368.0,306.0,2018-03-31,Greater Sydney,Outer Ring,House,650.0,627.0,4831.0,Non Strata
129,The Hills Shire,770.0,783.0,79.0,2018-03-31,Greater Sydney,Outer Ring,Other,570.0,83.0,998.0,Strata
130,The Hills Shire,770.0,783.0,79.0,2018-03-31,Greater Sydney,Outer Ring,Townhouse,580.0,105.0,1106.0,Strata
131,The Hills Shire,770.0,783.0,79.0,2018-03-31,Greater Sydney,Outer Ring,Flat/Unit,520.0,268.0,1682.0,Strata
